libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
libzip 1.10.1-1
licenses 20231215-1
lightdm 1:1.32.0-5
lilv 0.24.22-1
linux 6.6.7.artix1-1
linux-api-headers 6.4-1
linux-firmware 20231211.f2e52a1c-1
linux-firmware-whence 20231211.f2e52a1c-1
linux66-tkg-bore 6.6.8-273
linux66-tkg-bore-headers 6.6.8-273
lld 16.0.6-1.1
llvm 16.0.6-1.1
llvm-libs 16.0.6-1.1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.31-1
localsend-bin 1.13.1-1
lsb-release 2.0.r53.a86f885-1
lsof 4.99.0-1
lua 5.4.6-3
luajit 2.1.1702233742-1
lutris 0.5.14-1
lv2 1.18.10-1
lvm2 2.03.22-2.1
ly 0.6.0-1.2
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1.1
make 4.4.1-2
mako 1.8.0-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2.1
mercurial 6.6.1-4
mesa 1:23.3.1-1
mesa-utils 9.0.0-3
mesa-vdpau 1:23.3.1-1
meson 1.3.0-2
microsoft-gsl 4.0.0-1.7
minecraft-server 1.20.4-2
mingw-w64-binutils 2.39-1
mingw-w64-crt 11.0.0-1
mingw-w64-gcc 13.1.0-1
mingw-w64-headers 11.0.0-1
mingw-w64-winpthreads 11.0.0-1
minizip 1:1.3-2
mkinitcpio 37.1-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mpfr 4.2.1-1
mpg123 1.32.3-1
mpv 1:0.37.0-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mtpfs 1.1-4
mujs 1.3.4-1
nano 7.2-1
nasm 2.16.01-1
nautilus 45.2.1-1
ncurses 6.4_20230520-1
nemo 6.0.1-1
nemo-fileroller 6.0.1-1
neofetch 7.1.0-2
neovim 0.9.4-2
netpbm 10.86.39-2
netstandard-targeting-pack 8.0.0.sdk100-3
nettle 3.9.1-1
network-manager-applet 1.34.0-1
networkmanager 1.44.2-3
networkmanager-dinit 20230912-1
ninja 1.11.1-3
nlohmann-json 3.11.2-2
nm-connection-editor 1.34.0-1
node-gyp 10.0.1-1
nodejs 21.4.0-2
nodejs-nopt 7.2.0-1
noto-fonts 1:23.12.1-1
noto-fonts-cjk 20230817-1
noto-fonts-emoji 1:2.042-1
noto-fonts-extra 1:23.12.1-1
npth 1.6-4
nspr 4.35-2
nss 3.96.1-1
ntp 4.2.8.p17-1
ntp-dinit 20211030-3
ocl-icd 2.3.2-1
onetbb 2021.10.0-1
onevpl 2023.4.0-1
openal 1.23.1-1
opencl-headers 2:2023.04.17-2
opencore-amr 0.1.6-1
opencv 4.8.1-4
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmpi 4.1.5-5
openpmix 4.2.6-1
openssh 9.6p1-1
openssl 3.2.0-1
opus 1.4-1
opusfile 0.12-3
orc 0.4.34-1
ostree 2023.8-1
osu-lazer 2023.1222.0-1
otf-aurulent-nerd 3.1.1-1
otf-codenewroman-nerd 3.1.1-1
otf-comicshanns-nerd 3.1.1-1
otf-commit-mono-nerd 3.1.1-1
otf-droid-nerd 3.1.1-1
otf-firamono-nerd 3.1.1-1
otf-font-awesome 6.5.1-1
otf-geist-mono-nerd 3.1.1-1
otf-hasklig-nerd 3.1.1-1
otf-hermit-nerd 3.1.1-1
otf-monaspace-nerd 3.1.1-1
otf-opendyslexic-nerd 3.1.1-1
otf-overpass-nerd 3.1.1-1
p11-kit 0.25.3-1
p7zip 1:17.05-2
pacman 6.0.2-8
pacman-contrib 1.9.1-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20230918-1
pango 1:1.51.1-1
pangomm 2.46.3-1
papirus-icon-theme 20231201-2
parted 3.6-1
paru 2.0.1-1
patch 2.7.6-10
patchutils 0.4.2-2
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
pepper-flash 32.0.0.465-1
perl 5.38.1-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.12.0-3
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-3
pipewire 1:1.0.0-2.1
pipewire-alsa 1:1.0.0-2.1
